id,hash,time,timezoneOffset,created,edited,isPublic,isTrack,distance,s,elapsedTime,elevationUp,elevationDown,elevationUpFile,elevationDownFile,altitudeSource,climbScore,percentageHilly,uphillEfficiency,downhillEfficiency,vam,kcal,pulseAvg,pulseMax,recoveryHr,maxHeartRateDropFrom,maxHeartRateDrop,vo2max,vo2maxByTime,vo2maxWithElevation,useVO2max,fitVO2maxEstimate,fitRecoveryTime,fitTrimp,fitHrvAnalysis,fitTrainingEffect,fitAnaerobicTrainingEffect,fitPerformanceCondition,fitPerformanceConditionEnd,fitFtp,fitSweatLoss,fitDeveloperSessionFields,rpe,subjectiveFeeling,trimp,cadence,gap,xPace,xGap,aerobicDecouplingPace,aerobicDecouplingPower,power,powerWithZero,airPower,isPowerCalculated,xPower,xPowerWithZero,wPrimeBalancePowerAvg,wPrimeBalancePowerMin,wPrimeBalancePaceAvg,wPrimeBalancePaceMin,staminaAvg,staminaMin,staminaPotentialAvg,staminaPotentialMin,zoneDistributionPace,zoneDistributionHr,zoneDistributionPower,totalStrokes,swolf,wheelSize,poolLength,strideLength,groundcontact,groundcontactBalance,verticalOscillation,verticalRatio,avgImpactGsLeft,avgImpactGsRight,avgBrakingGsLeft,avgBrakingGsRight,avgFootstrikeTypeLeft,avgFootstrikeTypeRight,avgPronationExcursionLeft,avgPronationExcursionRight,avgLegSpringStiffness,avgFormPower,avgRespiratoryRate,avgLeftRightBalance,avgLeftTorqueEffectiveness,avgRightTorqueEffectiveness,avgLeftPedalSmoothness,avgRightPedalSmoothness,avgPlatformCenterOffsetLeft,avgPlatformCenterOffsetRight,avgLeftPowerPhaseStartAngle,avgLeftPowerPhaseEndAngle,avgLeftPowerPhasePeakStartAngle,avgLeftPowerPhasePeakEndAngle,avgRightPowerPhaseStartAngle,avgRightPowerPhaseEndAngle,avgRightPowerPhasePeakStartAngle,avgRightPowerPhasePeakEndAngle,cyclingTotalGrit,cyclingTotalGrit2,cyclingAvgFlow,jumps,peakEpoc,peakEpocEstimate,temperature,windSpeed,windDeg,humidity,cloudCover,pressure,uvIndex,ozone,isNight,weatherid,weatherSource,routeName,hasTrackdata,isVirtual,splits,splitsCustom,title,partner,notes,creator,creatorDetails,deviceId,source,externalId,lock,sportid,typeid,accountid,hrv_id,original_file,hrv_avgRR,hrv_rmssd,hrv_sdsd,hrv_sdnn,hrv_sdnn5min,hrv_pnn50,hrv_pnn20,hrv_percentageAnomalies,hrv_dfaA1Avg,hrv_dfaA1Min,hrv_dfaA1Max,hrv_dfaA1PAboveAet,hrv_dfaA1PBelowAnt,hrv_dfaA1PValid,hrv_dfaA1PArtifacts,hrv_estimatedAetPower,hrv_estimatedAetPowerFeasible,hrv_estimatedAetPace,hrv_estimatedAetPaceFeasible,hrv_estimatedAetHr,hrv_estimatedAetHrFeasible,race_officialDistance,race_officialTime,race_officialAscent,race_officialDescent,race_officiallyMeasured,race_name,race_placeTotal,race_placeGender,race_placeAgeclass,race_participantsTotal,race_participantsGender,race_participantsAgeclass,race_priorityLevel,race_status,race_accountid,race_activity_id,race_race_event_id,tags,climbs,equipmentIds
5962126,c90b8c33-b1ec-4187-afdb-5a2fc0d8260e,1349519610,120,1548677380,,0,0,9.72,3806,3852,60,59,,,1,0,0.23,,,,677,,,,,,,29.14,,1,,,,,,,,,,,,,,79,,9.29,10.71,10.8,,,,,,,,,,,,,,,,,"36,10,17,17,10,5,5,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,220,70,,1016,2,,0,3,3,,1,0,,,,,,,"Polar BEAT",,0,,0,168070,250480,30378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5962127,87463cb6-1c32-483d-b3a2-56e92204278e,1399496476,120,1548677381,,0,0,20.21,5384,5447,329,335,,,1,3.1,0.59,1.15,1.01,473,910,149,174,,,,66.52,48.5,67.84,1,,,,,,,,,,,,,,135,82,13.77,13.93,14.39,0.8,,,,,,,,,,,,,,,,"3,2,3,8,29,34,19,3,0","0,30,46,24,0",,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1,13,8,251,70,,1014,0,,1,5,3,,1,0,,,,,"Lockerer DL - ~3km rauslaufen am Königshügel",,"Polar BEAT",,0,,0,168070,250480,30378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,5",
5962128,200ed8aa-5b5b-4c21-88c5-9696e9d2eb82,1502733590,120,1548677382,,0,0,13.01,3369,3371,176,181,,,1,2.1,0.57,1.03,1.03,369,886,162,182,,,,61.29,48.42,62.29,1,,,,,,,,,,,,,,112,81,14.15,13.99,14.35,4.5,,,,,,,,,,,,,,,,"0,0,1,6,20,57,16,0,0","0,4,39,56,1",,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.2,25,3,116,55,,1016,2,,0,5,3,,1,0,I1.000|4:29-I1.000|4:09-I1.000|4:20-I1.000|4:20-I1.000|4:12-I1.000|4:29-I1.000|4:45-I1.000|4:18-I1.000|4:25-I1.000|3:57-I1.000|4:24-I1.000|4:20-I1.000|3:58-I0.014|0:04,,Running,,,,"Polar M430",43,0,,0,168070,250480,30378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
5962129,b3db2f9a-4b70-41ef-b5df-cf4780506ccd,1420281701,60,1548677382,,0,0,23.01,5865,5968,116,144,,,1,0,0.18,,,,1551,,,,,,,51.58,,1,,,,,,,,,,,,,,121,86,14.18,14.26,14.36,,,,,,,,,,,,,,,,,"3,0,1,2,10,62,22,0,0",,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,225,88,,,0,,0,5,3,,1,0,,,,,"Langer zügiger DL",,"Polar BEAT",,0,,0,168070,250480,30378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5962130,640345d8-fa9a-44df-b590-3293f739b2ec,1407359058,120,1548677383,,0,0,16.75,4572,4572,209,208,,,1,1.9,0.54,1.01,1.02,339,687,136,155,,,,72.58,46.45,73.71,1,,,,,,,,,,,,,,80,83,13.39,13.29,13.54,-0.4,,,,,,,,,,,,,,,,"0,1,1,14,36,46,3,0,0","0,70,30,0,0",,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,16,4,175,96,,1015,0,,1,6,3,,1,0,,,,,"Lockerer DL",,"Polar BEAT",,0,,0,168070,250480,30378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
5962131,65a7926b-d97f-47cb-809c-3cd39319cf5f,1521221335,60,1548677384,,0,0,10.94,1667,1668,43,30,,,1,0,0.09,2.43,,,295,128,151,,,,,,,1,,,,,,,,,,,,,,23,,,24.45,,9.2,-13.6,125,109,,1,143,131,,,,,,,,,"6,11,27,57,0,0,0","0,95,5,0,0","84,6,0,0,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,12,3,256,64,,,0,,0,5,3,,1,0,,,Cycling,,,,"Polar M430",43,0,,0,168072,,30378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5962132,b05dd1f0-3d6a-447a-b4a6-552a497248ca,1420809651,60,1548677385,,0,0,18.62,5066,5116,288,288,,,1,2.8,0.59,,,471,1257,,,,,,,47.03,,1,,,,,,,,,,,,,,105,84,13.54,13.4,13.74,,,,,,,,,,,,,,,,,"1,1,6,12,28,42,9,0,0",,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,240,94,,1021,1,,0,4,3,,1,0,,,,,"Längerer DL",,"Polar BEAT",,0,,0,168070,250480,30378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,5,5",
5962133,,1415044260,60,1548677385,,0,0,4,0,0,,,,,0,,,,,,253,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,,,,Auslaufen,,"Polar BEAT",,0,,0,168070,250480,30378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5962135,eccf1dea-2e23-48f7-870d-c005df09a6e7,1473507636,120,1548677385,,0,0,3,943,944,44,45,,,1,1.3,0.54,,,290,203,,,,,,,35.05,,1,,,,,,,,,,,,,,19,79,11.83,12.16,12.29,,,,,,,,,,,,,,,,,"8,12,25,20,8,14,12,0,0",,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1,215,71,,,,,0,3,3,,1,0,,,,,"Plettenberg Laufen",,"Polar BEAT",,0,,0,168070,250480,30378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
5962136,031d96ad-43bf-4f73-9892-7b645d1d8681,1364554836,60,1548677385,,0,0,3.18,1025,1048,54,55,,,1,1.4,0.63,,,383,220,,,,,,,34.18,,1,,,,,,,,,,,,,,21,,11.48,12.04,12.27,,,,,,,,,,,,,,,,,"14,7,15,22,20,14,7,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,269,74,,,3,,0,5,3,,1,0,,,,,,,"Polar BEAT",,0,,0,168070,250480,30378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
